province,qu_category,qu_subcategory,NBS_region,RR_ranking,k2_groups,k3_groups,k4_groups
Beijing,First,1,Eastern,4,1,3,4
Shanghai,First,1,Eastern,2,1,3,1
Zhejiang,First,1,Eastern,5,1,3,1
Tianjin,First,1,Eastern,7,2,1,4
Jiangsu,Second,2,Eastern,1,2,2,3
Shandong,Second,2,Eastern,6,1,3,1
Fujian,Second,2,Eastern,3,2,2,4
Anhui,Second,3,Central,8,2,2,3
Chongqing,Second,3,Western,10,2,1,2
Hubei,Second,3,Central,9,2,2,3
Qinghai,Third,4,Western,23,2,1,2
Tibet,Third,4,Western,17,2,1,2
Guangdong,Fourth,5,Eastern,11,2,2,4
Hunan,Fourth,5,Central,13,2,2,3
Henan,Fourth,5,Central,15,2,1,2
Hebei,Fourth,5,Eastern,14,2,2,3
Gansu,Fourth,6,Western,24,2,1,2
Yunnan,Fourth,6,Western,20,2,1,2
Guizhou,Fourth,6,Western,22,2,1,2
Ningxia,Fourth,6,Western,16,2,1,2
Sichuan,Fourth,6,Western,19,2,1,2
Xinjiang,Fourth,6,Western,18,2,1,2
Jiangxi,Fourth,6,Central,12,2,2,3
Guangxi,Fourth,6,Western,26,2,2,3
Jilin,Fourth,6,Northeastern,21,2,1,2
Inner Mongolia,Fourth,7,Western,25,2,1,2
Shaanxi,Fourth,7,Western,27,2,1,2
Shanxi,Fourth,7,Central,30,2,1,2
Hainan,Fourth,7,Eastern,31,1,3,1
Heilongjiang,Fourth,7,Northeastern,29,2,1,2
Liaoning,Fourth,7,Northeastern,28,1,3,1
